,id,timestamp,lat,lon,destination,pattern_id,pattern_distance,trip_id
222,6342,20191204 19:45:24,40.402244567871094,-79.8675765991211,Downtown,6806,324,5846
224,3206,20191204 19:45:28,40.44120407104492,-79.89435577392578,Downtown,6912,35794,5768
225,3255,20191204 19:45:24,40.43861288773386,-79.98655138517681,Downtown,6912,66763,5766
229,3311,20191204 19:45:27,40.438692808151245,-79.98831295967102,Downtown,6774,55507,5765
232,6237,20191204 19:45:34,40.40203857421875,-79.8678207397461,Downtown,6898,252,5847
239,6439,20191204 19:45:33,40.43424474781957,-79.89506662303003,Braddock Hills Shopping Ctr,6776,34894,6769
245,6119,20191204 19:45:40,40.441975527031474,-79.88566358699354,Braddock,6914,37205,6767
246,3308,20191204 19:45:42,40.441654034514926,-79.95866154912693,Downtown,6774,45900,5767
254,6119,20191204 19:45:45,40.442195892333984,-79.88556201641376,Braddock,6914,37327,6767
262,6118,20191204 19:45:51,40.443641662597656,-79.95149230957031,Braddock,6914,15752,6771
267,6342,20191204 19:45:54,40.402400970458984,-79.86737823486328,Downtown,6806,442,5846
270,3255,20191204 19:45:55,40.438682317733765,-79.98816347122192,Downtown,6912,67233,5766
273,3308,20191204 19:45:58,40.44150924682617,-79.95885153377758,Downtown,6774,45974,5767
274,3311,20191204 19:45:57,40.43875805299673,-79.98976920967671,Downtown,6774,55888,5765
284,6439,20191204 19:46:03,40.43333525576834,-79.89441435215836,Braddock Hills Shopping Ctr,6776,35277,6769
286,6237,20191204 19:46:06,40.40203857421875,-79.8678207397461,Downtown,6898,252,5847
287,3206,20191204 19:46:05,40.439765739440915,-79.89576454162598,Downtown,6912,36661,5768
292,3311,20191204 19:46:08,40.43876319096006,-79.98989210457637,Downtown,6774,55949,5765
294,6342,20191204 19:46:05,40.4029426574707,-79.86811065673828,Downtown,6806,737,5846
297,3255,20191204 19:46:11,40.43868714570999,-79.9882310628891,Downtown,6912,67252,5766
298,6118,20191204 19:46:17,40.44386148452759,-79.95091953277588,Braddock,6914,16017,6771
299,6119,20191204 19:46:16,40.44245168325063,-79.88390494681694,Braddock,6914,38024,6767
303,6342,20191204 19:46:10,40.403221130371094,-79.868408203125,Downtown,6806,817,5846
305,3206,20191204 19:46:23,40.439674550836735,-79.89746926047586,Downtown,6912,37178,5768
311,6439,20191204 19:46:21,40.43292125578849,-79.89411237162929,Braddock Hills Shopping Ctr,6776,35479,6769
318,3308,20191204 19:46:28,40.4400880691853,-79.96081364408452,Downtown,6774,46708,5767
323,3206,20191204 19:46:33,40.43964966483738,-79.89791571575662,Downtown,6912,37313,5768
324,3255,20191204 19:46:33,40.438720703125,-79.98882281780243,Downtown,6912,67401,5766
330,6342,20191204 19:46:31,40.40428924560547,-79.87014770507812,Downtown,6806,1552,5846
331,6237,20191204 19:46:36,40.40203857421875,-79.8678207397461,Downtown,6898,252,5847
337,3311,20191204 19:46:39,40.4388427734375,-79.99066925048828,Downtown,6774,56129,5765
339,6342,20191204 19:46:35,40.40447998046875,-79.87049102783203,Downtown,6806,1648,5846
342,3255,20191204 19:46:44,40.43872249126434,-79.98888421058655,Downtown,6912,67454,5766
350,3206,20191204 19:46:47,40.43956878950011,-79.89913335836158,Downtown,6912,37699,5768
353,6119,20191204 19:46:47,40.44194181037672,-79.88238155480587,Braddock,6914,38489,6767
359,3206,20191204 19:47:00,40.43945899376502,-79.901243356558,Downtown,6912,38251,5768
361,6118,20191204 19:46:52,40.44434102376302,-79.94905489966983,Braddock,6914,16552,6771
362,6119,20191204 19:46:51,40.44181387765067,-79.8819830758231,Braddock,6914,38624,6767
365,6439,20191204 19:46:58,40.43063465998723,-79.89253469613882,Braddock Hills Shopping Ctr,6776,36465,6769
372,3308,20191204 19:47:03,40.43899888812371,-79.96225925661483,Downtown,6774,47275,5767
376,6237,20191204 19:47:07,40.40203857421875,-79.8678207397461,Downtown,6898,252,5847
382,3311,20191204 19:47:10,40.4388427734375,-79.99066925048828,Downtown,6774,56129,5765
384,6342,20191204 19:47:06,40.40516662597656,-79.87171173095703,Downtown,6806,2127,5846
387,3255,20191204 19:47:14,40.438724398612976,-79.98894143104553,Downtown,6912,67470,5766
389,6119,20191204 19:47:15,40.441317313058036,-79.88052913120815,Braddock,6914,39098,6767
400,3311,20191204 19:47:18,40.43880921703274,-79.99089373572399,Downtown,6774,56236,5765
401,6439,20191204 19:47:16,40.42861622777478,-79.89169311523438,Braddock Hills Shopping Ctr,6776,37249,6769
406,6118,20191204 19:47:23,40.44435373942057,-79.94901311965216,Braddock,6914,16564,6771
413,3206,20191204 19:47:30,40.43804168701172,-79.90650503976005,Downtown,6912,39880,5768
424,6118,20191204 19:47:34,40.44442783702504,-79.9487138227983,Braddock,6914,16677,6771
426,3308,20191204 19:47:33,40.43795371055603,-79.96379137039185,Downtown,6774,47841,5767
430,6237,20191204 19:47:37,40.40203857421875,-79.8678207397461,Downtown,6898,252,5847
432,3255,20191204 19:47:45,40.43892288208008,-79.99250030517578,Downtown,6912,68461,5766
434,6119,20191204 19:47:46,40.440651743035566,-79.87853522049754,Braddock,6914,39713,6767
435,3308,20191204 19:47:43,40.43779230117798,-79.964439868927,Downtown,6774,48104,5767
438,6342,20191204 19:47:37,40.406089782714844,-79.87333679199219,Downtown,6806,2684,5846
446,6439,20191204 19:47:47,40.428080240885414,-79.8914286295573,Braddock Hills Shopping Ctr,6776,37502,6769
447,6342,20191204 19:47:51,40.40673828125,-79.87448120117188,Downtown,6806,3123,5846
450,3255,20191204 19:47:56,40.43888809431845,-79.99272269633279,Downtown,6912,68590,5766
454,3311,20191204 19:47:55,40.43889526822674,-79.99295180591184,Downtown,6774,56863,5765
467,3206,20191204 19:48:05,40.43803024291992,-79.91296495710101,Downtown,6912,41676,5768
474,6342,20191204 19:48:03,40.40709912776947,-79.87504291534424,Downtown,6806,3292,5846
475,6237,20191204 19:48:08,40.40203857421875,-79.8678207397461,Downtown,6898,252,5847
487,6118,20191204 19:48:13,40.44464111328125,-79.94330596923828,Braddock,6914,18207,6771
489,3308,20191204 19:48:15,40.43645413716634,-79.9688237508138,Downtown,6774,49530,5767
490,3311,20191204 19:48:15,40.438934441768765,-79.99425864942145,Downtown,6774,57225,5765
492,6342,20191204 19:48:13,40.40723419189453,-79.87535858154297,Downtown,6806,3426,5846
494,3206,20191204 19:48:21,40.43803024291992,-79.91515568324498,Downtown,6912,42355,5768
495,3255,20191204 19:48:26,40.43904,-79.99461833333334,Downtown,6912,69173,5766
497,6119,20191204 19:48:17,40.440651743035566,-79.87853522049754,Braddock,6914,39713,6767
500,6439,20191204 19:48:18,40.42632722854614,-79.8914852142334,Braddock Hills Shopping Ctr,6776,38209,6769
507,3308,20191204 19:48:28,40.43688801356724,-79.97016034807477,Downtown,6774,50022,5767
520,6237,20191204 19:48:38,40.40203857421875,-79.8678207397461,Downtown,6898,252,5847
532,6118,20191204 19:48:44,40.44464111328125,-79.94326782226562,Braddock,6914,18217,6771
536,6439,20191204 19:48:46,40.42521381378174,-79.89149284362793,Braddock Hills Shopping Ctr,6776,38688,6769
537,6342,20191204 19:48:44,40.40922241210937,-79.87754669189454,Downtown,6806,4399,5846
539,3206,20191204 19:48:51,40.43803024291992,-79.91895569347945,Downtown,6912,43429,5768
542,6119,20191204 19:48:47,40.43919797624861,-79.878929574149,Braddock,6914,40329,6767
543,3308,20191204 19:48:50,40.43722461132293,-79.97118945831949,Downtown,6774,50338,5767
545,6439,20191204 19:48:48,40.42503547668457,-79.89142227172852,Braddock Hills Shopping Ctr,6776,38756,6769
549,3255,20191204 19:48:57,40.43975067138672,-79.99418640136719,Downtown,6912,69436,5766
553,3311,20191204 19:48:52,40.43941955566406,-79.99443786621094,Downtown,6774,57539,5765
557,3206,20191204 19:48:58,40.43803024291992,-79.91906575687597,Downtown,6912,43460,5768
565,6237,20191204 19:49:10,40.40203857421875,-79.8678207397461,Downtown,6898,252,5847
566,3206,20191204 19:49:10,40.43804168701172,-79.91942481274874,Downtown,6912,43566,5768
570,3308,20191204 19:49:08,40.43784604753767,-79.97318558465867,Downtown,6774,50979,5767
575,3206,20191204 19:49:15,40.43804168701172,-79.9198710603534,Downtown,6912,43689,5768
577,6118,20191204 19:49:14,40.4444580078125,-79.94229125976562,Braddock,6914,18466,6771
587,6119,20191204 19:49:20,40.43893237643772,-79.87907833523221,Braddock,6914,40498,6767
588,3308,20191204 19:49:18,40.438024163246155,-79.97461724281311,Downtown,6774,51453,5767
590,6439,20191204 19:49:19,40.42381564053622,-79.89096208052202,Braddock Hills Shopping Ctr,6776,39212,6769
598,3311,20191204 19:49:23,40.43941955566406,-79.99443786621094,Downtown,6774,57539,5765
603,3255,20191204 19:49:28,40.43975067138672,-79.99418640136719,Downtown,6912,69436,5766
606,3308,20191204 19:49:30,40.43814783510955,-79.97589078156844,Downtown,6774,51806,5767
609,6342,20191204 19:49:28,40.41113397630595,-79.8795189291744,Downtown,6806,5442,5846
619,6237,20191204 19:49:40,40.40203857421875,-79.8678207397461,Downtown,6898,252,5847
620,3206,20191204 19:49:46,40.43804931640625,-79.92247990199498,Downtown,6912,44402,5768
622,6118,20191204 19:49:45,40.4444580078125,-79.94229125976562,Braddock,6914,18466,6771
624,3308,20191204 19:49:45,40.438215664454866,-79.97748974391392,Downtown,6774,52335,5767
632,6119,20191204 19:49:50,40.43839141845703,-79.87942352294922,Braddock,6914,40719,6767
635,6439,20191204 19:49:50,40.42328222174393,-79.89125562969006,Braddock Hills Shopping Ctr,6776,39492,6769
639,3255,20191204 19:49:54,40.439903513590494,-79.99420572916667,Downtown,6912,69526,5766
640,6118,20191204 19:49:55,40.444471939750336,-79.9420275480851,Braddock,6914,18580,6771
642,3308,20191204 19:49:55,40.43826938497609,-79.97850194470635,Downtown,6774,52614,5767
643,3311,20191204 19:49:57,40.44005115215595,-79.9942380464994,Downtown,6774,57781,5765
645,6342,20191204 19:49:54,40.41196428496262,-79.88108036435884,Downtown,6806,5982,5846
659,6119,20191204 19:50:03,40.438191986083986,-79.87956132155199,Braddock,6914,40872,6767
663,6342,20191204 19:50:07,40.41244519141413,-79.88201042913622,Downtown,6806,6332,5846
664,6237,20191204 19:50:11,40.40203857421875,-79.8678207397461,Downtown,6898,252,5847
674,3206,20191204 19:50:17,40.43809509277344,-79.92352294921875,Downtown,6912,44676,5768
680,6439,20191204 19:50:14,40.42293203444708,-79.89103662400018,Braddock Hills Shopping Ctr,6776,39677,6769
683,3206,20191204 19:50:26,40.43806076049805,-79.92371877034505,Downtown,6912,44776,5768
684,3255,20191204 19:50:25,40.440391316133386,-79.99465089685776,Downtown,6912,69774,5766
685,6118,20191204 19:50:26,40.443947011774235,-79.93900229714133,Braddock,6914,19521,6771
688,3311,20191204 19:50:28,40.440508328951324,-79.99510779747597,Downtown,6774,58129,5765
690,6342,20191204 19:50:20,40.41305522595422,-79.88315258995961,Downtown,6806,6755,5846
693,3255,20191204 19:50:29,40.44040886300509,-79.99482026647348,Downtown,6912,69832,5766
696,3308,20191204 19:50:30,40.43836871060458,-79.98075450550427,Downtown,6774,53273,5767
701,3206,20191204 19:50:35,40.43806076049805,-79.92465602990353,Downtown,6912,45056,5768
708,6342,20191204 19:50:36,40.414006621749316,-79.88365568938079,Downtown,6806,7224,5846
709,6237,20191204 19:50:41,40.40203857421875,-79.8678207397461,Downtown,6898,252,5847
713,6119,20191204 19:50:40,40.436089873313904,-79.88131070137024,Braddock,6914,41836,6767
725,6439,20191204 19:50:45,40.422220102945964,-79.89059600830078,Braddock Hills Shopping Ctr,6776,39963,6769
735,6342,20191204 19:50:53,40.414772520674035,-79.88328146427236,Downtown,6806,7526,5846
739,6118,20191204 19:50:56,40.443264531154256,-79.93814505782782,Braddock,6914,19870,6771
741,3308,20191204 19:50:58,40.438445681617374,-79.98255544995504,Downtown,6774,53818,5767
742,3311,20191204 19:50:58,40.44118022918701,-79.99701881408691,Downtown,6774,58736,5765
746,3206,20191204 19:51:05,40.43809413909912,-79.92752075195312,Downtown,6912,45827,5768
747,3255,20191204 19:51:00,40.44067902035184,-79.99569532606337,Downtown,6912,70090,5766
748,6118,20191204 19:51:02,40.442712957208805,-79.93764565207742,Braddock,6914,20131,6771
749,6119,20191204 19:51:05,40.435734303792316,-79.88169708251954,Braddock,6914,42055,6767
753,6342,20191204 19:51:08,40.415516134408804,-79.88309373121996,Downtown,6806,7867,5846
754,6237,20191204 19:51:13,40.40203857421875,-79.8678207397461,Downtown,6898,252,5847
761,6439,20191204 19:51:09,40.421863068925575,-79.89037290532538,Braddock Hills Shopping Ctr,6776,40131,6769
764,3206,20191204 19:51:17,40.43798438870177,-79.9285105491171,Downtown,6912,46150,5768
775,6118,20191204 19:51:24,40.44046632867111,-79.93557960108707,Braddock,6914,21159,6771
785,6119,20191204 19:51:26,40.43444141588713,-79.88326986212479,Braddock,6914,42719,6767
786,3308,20191204 19:51:28,40.43846687437996,-79.98302387055897,Downtown,6774,53956,5767
792,3255,20191204 19:51:31,40.44068166944716,-79.9957038031684,Downtown,6912,70092,5766
793,6118,20191204 19:51:33,40.440362294514976,-79.93548414442274,Braddock,6914,21202,6771
796,3311,20191204 19:51:30,40.44131268195386,-79.99737721569133,Downtown,6774,58852,5765
807,6342,20191204 19:51:36,40.416035478765316,-79.88539678400213,Downtown,6806,8554,5846
